Sr No,date,startup,vertical,subvertical,city,investors,round,amount,day,month,year
1622,2016-06-20 ,Qonfuse                                                ,consumer internet                                          ,Online Test Papers for competitive exams                                                              ,New Delhi              ,Hamraj kumar                                                                                                                                                                        ,Seed Funding                ,0.0,20,6,2016
1623,2016-06-20 ,The Indian IRIS                                        ,consumer internet                                          ,Govt Policy Research & Information portal                                                             ,Ahmedabad              ,Timbru ventures                                                                                                                                                                     ,Seed Funding                ,0.0,20,6,2016
1624,2016-06-21 ,Onspoon                                                ,consumer internet                                          ,Online Platform for Event Sponsorship                                                                 ,Mumbai                 ,Swan angel network                                                                                                                                                                  ,Seed Funding                ,1.2375,21,6,2016
1625,2016-06-21 ,REstate                                                ,consumer internet                                          ,Real Estate Platform                                                                                  ,Bengaluru              ,Idein ventures                                                                                                                                                                      ,Seed Funding                ,0.0,21,6,2016
1626,2016-06-21 ,Cleartrip                                              ,consumer internet                                          ,Online Travel Agency                                                                                  ,Mumbai                 ,"Concur technologies, Gund investment                                                                                                                                              ",Private Equity              ,0.0,21,6,2016
1627,2016-06-21 ,ProcMart                                               ,consumer internet                                          ,Online Procurement Marketplace                                                                        ,Noida                  ,Indiamart                                                                                                                                                                           ,Private Equity              ,0.0,21,6,2016
1628,2016-06-21 ,Celerix                                                ,technology                                                 ,Fintech Product Development & Services Startup                                                        ,Bengaluru              ,Bitkemy ventures                                                                                                                                                                    ,Seed Funding                ,3.3,21,6,2016
1629,2016-06-21 ,NatureNama                                             ,consumer internet                                          ,Online Outdoors & travel                                                                              ,Mumbai                 ,Unicorn venture                                                                                                                                                                     ,Seed Funding                ,1.85625,21,6,2016
1630,2016-06-21 ,CyclopsMedtech                                         ,technology                                                 ,Medical Technology Provider                                                                           ,Bengaluru              ,Cp bothra                                                                                                                                                                           ,Seed Funding                ,0.0,21,6,2016
1631,2016-06-21 ,Syona Cosmetics                                        ,fmcg                                                       ,Beauty Products & Training to Salons & Spas                                                           ,Chennai                ,The chennai angels                                                                                                                                                                  ,Seed Funding                ,1.2375,21,6,2016
1632,2016-06-21 ,PrettySecrets                                          ,E-Commerce                                                 ,Women Lingerie Store                                                                                  ,Mumbai                 ,"Rb investments pte ltd, Orios venture partners                                                                                                                                    ",Private Equity              ,49.5,21,6,2016
1633,2016-06-22 ,SpiderG                                                ,consumer internet                                          ,Online invoice app for SMEs                                                                           ,Pune                   ,"Rahul kirloskar, Fusion tech ventures, Adi saravanan, Pravin dongre, Mahendra doshi                                                                                               ",Seed Funding                ,1.2375,22,6,2016
1634,2016-06-23 ,FarEye                                                 ,technology                                                 ,Logistics Management Software                                                                         ,New Delhi              ,Saif partners                                                                                                                                                                       ,Private Equity              ,28.875,23,6,2016
1635,2016-06-23 ,The Uolo                                               ,consumer internet                                          ,School Parent Communication App                                                                       ,Bengaluru              ,"Purvi ventures, Rajul garg, Vipin arora                                                                                                                                           ",Seed Funding                ,1.7325,23,6,2016
1636,2016-06-23 ,Staqu                                                  ,technology                                                 ,Artificial Intelligence based search platform                                                         ,Gurugram               ,Indian angel network                                                                                                                                                                ,Seed Funding                ,0.0,23,6,2016
1637,2016-06-23 ,Padhopadhao                                            ,consumer internet                                          ,Home Tutors search & Discovery                                                                        ,New Delhi              ,Rise india                                                                                                                                                                          ,Private Equity              ,0.0,23,6,2016
1638,2016-06-24 ,Drivify                                                ,consumer internet                                          ,Professional Driver discovery & Booking Mobile app                                                    ,Mumbai                 ,"Jitendra gupta, Pankaj tripathi                                                                                                                                                   ",Seed Funding                ,0.4125,24,6,2016
1639,2016-06-24 ,PratiLipi                                              ,consumer internet                                          ,Multi-Lingual self-publishing platform                                                                ,Bengaluru              ,Nexus venture partners                                                                                                                                                              ,Seed Funding                ,0.0,24,6,2016
1640,2016-06-24 ,ParaBlu                                                ,technology                                                 ,Cloud Data Security & Privacy Solutions                                                               ,Bengaluru              ,Kalaari capital                                                                                                                                                                     ,Seed Funding                ,4.125,24,6,2016
1641,2016-06-24 ,Schedulers Logistics                                   ,logistics                                                  ,Cold Storage Logistics solutions                                                                      ,Mumbai                 ,Gvfl                                                                                                                                                                                ,Private Equity              ,49.5,24,6,2016
1642,2016-06-24 ,LEAP India                                             ,others                                                     ,Supply Chain Equipment & Services provider                                                            ,Mumbai                 ,Mayfield ventures                                                                                                                                                                   ,Private Equity              ,24.75,24,6,2016
1643,2016-06-24 ,KabadiExpress                                          ,others                                                     ,Free Door Step Scrap Pickup Service                                                                   ,New Delhi              ,Undisclosed investor                                                                                                                                                                ,Seed Funding                ,1.221,24,6,2016
1644,2016-06-27 ,YourDost                                               ,consumer internet                                          ,Online counselling & Personal coaching platform                                                       ,Bengaluru              ,"Saif partners, Aprameya radhakrishnan, Phanindra sama, Subba rao telidevara, Vibhu garg, Paula ravindra mariwala, Gaurav bhalotia                                                 ",Seed Funding                ,9.9,27,6,2016
1645,2016-06-27 ,Gomalon                                                ,consumer internet                                          ,Online Spa & Salon discovery & Booking platform                                                       ,Bengaluru              ,Undisclosed investor                                                                                                                                                                ,Seed Funding                ,0.825,27,6,2016
1646,2016-06-27 ,Voler Cars                                             ,consumer internet                                          ,Self-Driven Car rental platform                                                                       ,New Delhi              ,"Kanodia family, Amit banka                                                                                                                                                        ",Seed Funding                ,0.0,27,6,2016
1647,2016-06-27 ,Travelyaari                                            ,consumer internet                                          ,Online ticket booking platform                                                                        ,Bengaluru              ,Gvfl ltd                                                                                                                                                                            ,Private Equity              ,24.75,27,6,2016
1648,2016-06-28 ,FabHotels                                              ,consumer internet                                          ,Online Hotel aggregator & Booking platform                                                            ,Gurugram               ,"Accel partners, Rb investments                                                                                                                                                    ",Private Equity              ,66.0,28,6,2016
1649,2016-06-28 ,Locanix                                                ,technology                                                 ,GPS based SaaS Solutions                                                                              ,Ahmedabad              ,Undisclosed investors                                                                                                                                                               ,Seed Funding                ,2.475,28,6,2016
1650,2016-06-28 ,LendingKart                                            ,consumer internet                                          ,Online Working Capital Business Loans Platform                                                        ,Ahmedabad              ,"Bertelsmann india investments, Mayfield india, Saama capital, India quotient                                                                                                      ",Private Equity              ,264.0,28,6,2016
1651,2016-06-28 ,Hello Tax                                              ,consumer internet                                          ,Online Tax Filing Platform                                                                            ,New Delhi              ,Sanjeev sinha                                                                                                                                                                       ,Seed Funding                ,2.43375,28,6,2016
1652,2016-06-28 ,MySuperBrain                                           ,consumer internet                                          ,Online Talent Discovery Platform for Kids                                                             ,Hyderabad              ,Soniks consulting                                                                                                                                                                   ,Seed Funding                ,0.0,28,6,2016
1653,2016-06-28 ,BlogBeats                                              ,consumer internet                                          ,Online Blogging Platform                                                                              ,Bengaluru              ,Undisclosed investor                                                                                                                                                                ,Seed Funding                ,0.0,28,6,2016
1654,2016-06-29 ,LetReach                                               ,E-Commerce                                                 ,ECommerce SAAS Solutions                                                                              ,New Delhi              ,Vcommission                                                                                                                                                                         ,Private Equity              ,0.825,29,6,2016
1655,2016-06-29 ,TrendieApp                                             ,technology                                                 ,Visual Content Marketing                                                                              ,Kolkata                ,Harsh vardhan hada                                                                                                                                                                  ,Seed Funding                ,0.4125,29,6,2016
1656,2016-06-29 ,ImpactGuru                                             ,consumer internet                                          ,Crowdfunding Platform                                                                                 ,Mumbai                 ,Piyush jain                                                                                                                                                                         ,Seed Funding                ,0.0,29,6,2016
1657,2016-06-29 ,Velvetcase                                             ,E-Commerce                                                 ,Online designer jewellery marketplace                                                                 ,Mumbai                 ,"Uniqorn ventures fund, Tv mohandas pai, S somasegar                                                                                                                               ",Private Equity              ,12.375,29,6,2016
1658,2016-06-30 ,Meru Cabs                                              ,consumer internet                                          ,Online/ Mobile Tax Cab booking                                                                        ,Mumbai                 ,Brand capital                                                                                                                                                                       ,Private Equity              ,206.25,30,6,2016
1659,2016-06-30 ,Campus Diaries                                         ,consumer internet                                          ,Student focussed Content Discovery portal                                                             ,Bengaluru              ,Aarin capital                                                                                                                                                                       ,Seed Funding                ,1.815,30,6,2016
1660,2016-06-30 ,Scripbox                                               ,consumer internet                                          ,Online Mutual Fund Investment platform                                                                ,Bengaluru              ,"Omidyar network, Accel partners & existing investors                                                                                                                              ",Private Equity              ,0.0,30,6,2016
1661,2016-06-30 ,Biryani Blues                                          ,food & beverage                                            ,QSR Chain                                                                                             ,Gurugram               ,Carpediem capital & others                                                                                                                                                          ,Private Equity              ,3.036,30,6,2016
1662,2016-05-01 ,MotoMojo                                               ,consumer internet                                          ,Mobile based Vehicle maintenance App                                                                  ,Mumbai                 ,"Niloufer dundh, Fauzan rahim, Balamurugan mani,                                                                                                                                   ",Seed Funding                ,0.0,1,5,2016
1663,2016-05-01 ,Get My Parking                                         ,technology                                                 ,Parking Technology Platform                                                                           ,New Delhi              ,The chennai angels                                                                                                                                                                  ,Seed Funding                ,3.102,1,5,2016
1664,2016-05-01 ,Prescribez                                             ,consumer internet                                          ,Health Service Aggregator Platform                                                                    ,Pune                   ,Ankush mehta                                                                                                                                                                        ,Seed Funding                ,1.19625,1,5,2016
1665,2016-05-02 ,Airwood                                                ,technology                                                 ,Agri Data & Analytics Platform                                                                        ,Chennai                ,Startupxseed ventures                                                                                                                                                               ,Seed Funding                ,0.0,2,5,2016
1666,2016-05-03 ,Mobikwik                                               ,consumer internet                                          ,Mobile & Digital Wallet                                                                               ,Gurugram               ,"Gmo payment gateway, Mediatek                                                                                                                                                     ",Private Equity              ,412.5,3,5,2016
1667,2016-05-03 ,iDreamCareer                                           ,consumer internet                                          ,Career Planning Services Portal                                                                       ,New Delhi              ,Brand capital                                                                                                                                                                       ,Private Equity              ,0.0,3,5,2016
1668,2016-05-03 ,Zwayam                                                 ,consumer internet                                          ,Online Recruitment Platform                                                                           ,Bengaluru              ,Undisclosed investors                                                                                                                                                               ,Seed Funding                ,2.0625,3,5,2016
1669,2016-05-03 ,BoiBanit                                               ,consumer internet                                          ,Online Food Delivery                                                                                  ,Vadodara               ,Undisclosed investors                                                                                                                                                               ,Seed Funding                ,0.0,3,5,2016
1670,2016-05-03 ,Zuver                                                  ,consumer internet                                          ,Car driver Discovery App                                                                              ,Mumbai                 ,"Shruth & smith group, Hermes group                                                                                                                                                ",Seed Funding                ,1.485,3,5,2016
1671,2016-05-03 ,Prepathon                                              ,education                                                  ,Competitive Exam learning platform                                                                    ,Mumbai                 ,Blume ventures                                                                                                                                                                      ,Private Equity              ,0.0,3,5,2016
1672,2016-05-04 ,EasyRoads                                              ,consumer internet                                          ,Road Trip planning Mobile app                                                                         ,Mumbai                 ,"Rohan angrish, Hrishi oberoi, Rahul mehta, Kapil hetamsaria, Pranav dedhia                                                                                                        ",Seed Funding                ,1.65,4,5,2016
1673,2016-05-04 ,Lenskart                                               ,E-Commerce                                                 ,Eyewear & Accessories etailer                                                                         ,New Delhi              ,"International finance corp, Tpg growth, Adveq management, Idg ventures, Ratan tata, Kris gopalakrishnan                                                                           ",Private Equity              ,495.0,4,5,2016
1674,2016-05-04 ,Seclore                                                ,technology                                                 ,Enterprise Security Technology platform                                                               ,Mumbai                 ,"Sistema asia fund, Helion venture, Ventureeast, India alternatives                                                                                                                ",Private Equity              ,99.0,4,5,2016
1675,2016-05-04 ,SolarTown                                              ,technology                                                 ,Solar Rooftop system installation company                                                             ,Chennai                ,Grex.in                                                                                                                                                                             ,Seed Funding                ,1.65,4,5,2016
1676,2016-05-04 ,Comarete                                               ,technology                                                 ,Telecom & Media IT services company                                                                   ,Pune                   ,Grex.in                                                                                                                                                                             ,Seed Funding                ,1.65,4,5,2016
1677,2016-05-04 ,MyDentistChoice                                        ,E-Commerce                                                 ,Medical Supplies eTailer                                                                              ,Hyderabad              ,Undisclosed investors                                                                                                                                                               ,Seed Funding                ,1.2375,4,5,2016
1678,2016-05-04 ,Active.ai                                              ,technology                                                 ,Intelligent Tech platform for Finance vertical                                                        ,Singapore              ,Kalaari capital accelerator program                                                                                                                                                 ,Seed Funding                ,4.125,4,5,2016
1679,2016-05-04 ,Affordplan                                             ,technology                                                 ,Affordable non-emergency medical service health plans                                                 ,New Delhi              ,Kalaari capital accelerator program                                                                                                                                                 ,Seed Funding                ,4.125,4,5,2016
1680,2016-05-04 ,Indee                                                  ,consumer internet                                          ,Web Video Streaming Platform                                                                          ,Bengaluru              ,Kalaari capital accelerator program                                                                                                                                                 ,Seed Funding                ,4.125,4,5,2016
1681,2016-05-05 ,Unbxd                                                  ,technology                                                 ,eCommerce product discovery software                                                                  ,New Delhi              ,"Idg ventures, Inventus capital, Indian angel network                                                                                                                              ",Private Equity              ,0.0,5,5,2016
1682,2016-05-05 ,WebAlligator                                           ,consumer internet                                          ,Cloud Based Software Solutions                                                                        ,Bengaluru              ,Group of undisclosed angel investors & hnis                                                                                                                                         ,Seed Funding                ,3.09375,5,5,2016
1683,2016-05-06 ,EduAce Services                                        ,education                                                  ,Education Workshops & mentoring programs                                                              ,Lucknow                ,Momagic technologies                                                                                                                                                                ,Private Equity              ,8.25,6,5,2016
1684,2016-05-06 ,Meesho                                                 ,E-Commerce                                                 ,Social commerce platform                                                                              ,Bengaluru              ,Rajul garg & others                                                                                                                                                                 ,Seed Funding                ,0.0,6,5,2016
1685,2016-05-07 ,Zebroads                                               ,logistics                                                  ,Logistics and Warehousing services                                                                    ,Hyderabad              ,Undisclosed investors                                                                                                                                                               ,Seed Funding                ,0.61875,7,5,2016
1686,2016-05-09 ,Locus                                                  ,technology                                                 ,Logistics Intelligence platform                                                                       ,Bengaluru              ,"Exfinity venture partners, Blume ventures, Beenext, Rajesh ranavat                                                                                                                ",Private Equity              ,22.6875,9,5,2016
1687,2016-05-09 ,Toko Innovations                                       ,consumer internet                                          ,Children's Entertainment Portal                                                                       ,Bengaluru              ,"Roopak saluja, Vishal khare                                                                                                                                                       ",Seed Funding                ,3.7125,9,5,2016
1688,2016-05-09 ,Rentickle                                              ,E-Commerce                                                 ,"Furniture, appliances Portal                                                                        ",New Delhi              ,"Manish kheterpal, Vinay mittal, Dinesh mittal, Sandeep gupta                                                                                                                      ",Seed Funding                ,2.0625,9,5,2016
1689,2016-05-10 ,HealthifyMe                                            ,consumer internet                                          ,Health & Fitness App                                                                                  ,Bengaluru              ,"Idg ventures india, Inventus capital, Blume ventures                                                                                                                              ",Private Equity              ,49.5,10,5,2016
1690,2016-05-10 ,Zarget                                                 ,consumer internet                                          ,Conversion Rate Optimization Platform                                                                 ,Chennai                ,"Accel partners, Matrix partners, Girish mathrubootham                                                                                                                             ",Private Equity              ,12.375,10,5,2016
1691,2016-05-10 ,InnoNano Research                                      ,technology                                                 ,Clean Water Technology                                                                                ,Chennai                ,Nanoholdings                                                                                                                                                                        ,Private Equity              ,148.5,10,5,2016
1692,2016-05-10 ,SchoolWear                                             ,E-Commerce                                                 ,School Uniform & Supplies Marketplace                                                                 ,Mumbai                 ,Undisclosed investors                                                                                                                                                               ,Seed Funding                ,12.375,10,5,2016
1693,2016-05-10 ,Swiggy                                                 ,consumer internet                                          ,Online Food Delivery                                                                                  ,Bengaluru              ,"Norwest venture partners, Dst global, Accel partners                                                                                                                              ",Private Equity              ,57.75,10,5,2016
1694,2016-05-11 ,Zenify                                                 ,consumer internet                                          ,Home rental Discovery & Booking Portal                                                                ,Bengaluru              ,Undisclosed investors                                                                                                                                                               ,Private Equity              ,7.425,11,5,2016
1695,2016-05-11 ,Faircent                                               ,consumer internet                                          ,Online Peer to Peer Lending platform                                                                  ,Gurugram               ,"Jm financial products ltd, Arun tadanki, Doreswamy nandkishore, Kshitij jain                                                                                                      ",Private Equity              ,0.0,11,5,2016
1696,2016-05-11 ,Fractal Analytics                                      ,technology                                                 ,Data Analytics Company                                                                                ,Mumbai                 ,Khazanah nasional berhad                                                                                                                                                            ,Private Equity              ,825.0,11,5,2016
1697,2016-05-12 ,Unacademy                                              ,consumer internet                                          ,Free Online Education Platform                                                                        ,Bengaluru              ,"Blume ventures, Rajan anandan, Sumit jain, Aprameya radhakrishna, Sujeet kumar, Phanindra sama                                                                                    ",Seed Funding                ,4.125,12,5,2016
1698,2016-05-12 ,Capital Float                                          ,consumer internet                                          ,Online Lending Platform                                                                               ,Bengaluru              ,"Creation investments capital management, Saif partners, Sequoia capital, Aspada ventures                                                                                          ",Private Equity              ,206.25,12,5,2016
1699,2016-05-12 ,Life Circle                                            ,healthcare                                                 ,Senior Healthcare Services                                                                            ,Hyderabad              ,Groupe sos                                                                                                                                                                          ,Private Equity              ,1.2375,12,5,2016
1700,2016-05-12 ,Dream Wallets                                          ,consumer internet                                          ,Online Crowdfunding platform                                                                          ,Jaipur                 ,"Rakesh gupta, Aditya aggarwal, Siddharth banerjee, Vikas ranjan, Anshul jindal, Sunil koul, And sanjeev agrawal                                                                   ",Seed Funding                ,0.0,12,5,2016
1701,2016-05-12 ,ShabdNagari                                            ,consumer internet                                          ,Hindi social networking portal                                                                        ,Kanpur                 ,Ah! ventures                                                                                                                                                                        ,Seed Funding                ,0.0,12,5,2016
1702,2016-05-12 ,Galleri5                                               ,consumer internet                                          ,Visual Content Discovery platform                                                                     ,Bengaluru              ,"Phanindra sama, Raghunandan g,                                                                                                                                                    ",Seed Funding                ,0.0,12,5,2016
1703,2016-05-12 ,Derbii                                                 ,logistics                                                  ,Carpooling Services                                                                                   ,Gurugram               ,Anurag chauhan                                                                                                                                                                      ,Seed Funding                ,0.0,12,5,2016
1704,2016-05-13 ,StayZilla                                              ,consumer internet                                          ,Budget Room Aggregator Booking platform                                                               ,Chennai                ,"Matrix partners, Nexus ventures                                                                                                                                                   ",Private Equity              ,111.375,13,5,2016
1705,2016-05-13 ,WoW Express                                            ,logistics                                                  ,E-Commerce Logistics Solutions                                                                        ,Mumbai                 ,Undisclosed investors & tamarind family private trust                                                                                                                               ,Private Equity              ,18.15,13,5,2016
1706,2016-05-16 ,Smartivity                                             ,E-Commerce                                                 ,Smart Learning products                                                                               ,Delhi                  ,"S chand, Advantedge partners                                                                                                                                                      ",Private Equity              ,8.25,16,5,2016
1707,2016-05-16 ,BedBathMore                                            ,consumer internet                                          ,Home Decor eMarketplace                                                                               ,Mumbai                 ,"Kinnevik group, Rocket internet                                                                                                                                                   ",Private Equity              ,0.0,16,5,2016
1708,2016-05-17 ,Murgency                                               ,consumer internet                                          ,Medical Emergency Response App                                                                        ,Mumbai                 ,Rata tata                                                                                                                                                                           ,Private Equity              ,0.0,17,5,2016
1709,2016-05-17 ,Crownit                                                ,consumer internet                                          ,Mobile customer rewards management platform                                                           ,Gurugram               ,"Undisclosed investors, Accel partners, Helion venture partners                                                                                                                    ",Private Equity              ,0.0,17,5,2016
1710,2016-05-17 ,Blinge                                                 ,E-Commerce                                                 ,Apparel Rental platform                                                                               ,Mumbai                 ,"Anupam mittal, Anuj srivastava, Ankit nagori                                                                                                                                      ",Seed Funding                ,0.0,17,5,2016
1711,2016-05-18 ,TheSmartQ                                              ,consumer internet                                          ,Online Food Delivery                                                                                  ,Bengaluru              ,Yournest angel fund                                                                                                                                                                 ,Seed Funding                ,2.0625,18,5,2016
1712,2016-05-18 ,PurpleHealth                                           ,consumer internet                                          ,Online health-on-demand platform                                                                      ,Trivandrum             ,Katabole technology venture                                                                                                                                                         ,Seed Funding                ,0.825,18,5,2016
1713,2016-05-18 ,Fundamentor                                            ,education                                                  ,Aptitude Development Program                                                                          ,Pune                   ,Subramanya sv                                                                                                                                                                       ,Seed Funding                ,0.0,18,5,2016
1714,2016-05-18 ,EduPristine                                            ,education                                                  ,Online Certification Courses                                                                          ,Mumbai                 ,"Kaizen management advisors, Devry inc                                                                                                                                             ",Private Equity              ,82.5,18,5,2016
